,Time,Country,Young and Old to Working Age Dependency Ratio
748,2094,India,75.29342022850022
749,2095,India,75.70740090668497
750,2096,India,76.12802295590927
751,2097,India,76.54330176810676
752,2098,India,76.94680025543188
753,2099,India,77.34226665579752
754,2100,India,77.73674585713391
755,1950,Indonesia,75.49640701252346
756,1951,Indonesia,74.05795504310296
757,1952,Indonesia,72.86050818647266
758,1953,Indonesia,71.95764726497603
759,1954,Indonesia,71.34660057752531
760,1955,Indonesia,70.9926607426428
761,1956,Indonesia,70.89814935795556
762,1957,Indonesia,71.06431230786515
763,1958,Indonesia,71.48341002225574
764,1959,Indonesia,72.13307340569833
765,1960,Indonesia,72.99257764092928
766,1961,Indonesia,74.00689620895511
767,1962,Indonesia,75.1710376392446
768,1963,Indonesia,76.48291284036173
769,1964,Indonesia,77.86057534720013
770,1965,Indonesia,79.31367467965683
771,1966,Indonesia,80.75315682168373
772,1967,Indonesia,81.98948974426828
773,1968,Indonesia,82.91445923868515
774,1969,Indonesia,83.53585569700314
775,1970,Indonesia,83.93681121354328
776,1971,Indonesia,84.12111632433766
777,1972,Indonesia,84.10024872610192
778,1973,Indonesia,83.91438856992718
779,1974,Indonesia,83.55517240491316
780,1975,Indonesia,83.02974913110077
781,1976,Indonesia,82.37523660335843
782,1977,Indonesia,81.60755815709274
783,1978,Indonesia,80.76249348083718
784,1979,Indonesia,79.849789786009
