,Time,Country,Old to Working Age Dependency Ratio
441,2089,Brazil,59.349706521719256
442,2090,Brazil,59.612688465937445
443,2091,Brazil,59.88628574438639
444,2092,Brazil,60.16163361546577
445,2093,Brazil,60.430193708054794
446,2094,Brazil,60.69576796628857
447,2095,Brazil,60.969382516589555
448,2096,Brazil,61.25002194190158
449,2097,Brazil,61.52721315682555
450,2098,Brazil,61.80486661347035
451,2099,Brazil,62.084970166066924
452,2100,Brazil,62.368544349603525
453,1950,China,8.380523245817628
454,1951,China,8.180954415945555
455,1952,China,8.026629054828078
456,1953,China,7.916746487072884
457,1954,China,7.828627948280388
458,1955,China,7.712014067648668
459,1956,China,7.573391273696566
460,1957,China,7.475941294330436
461,1958,China,7.426676476587297
462,1959,China,7.328812533697655
463,1960,China,7.124153895320491
464,1961,China,6.918323107788588
465,1962,China,6.811915980122499
466,1963,China,6.7569194800341625
467,1964,China,6.691654042059568
468,1965,China,6.637435711666144
469,1966,China,6.62196466944516
470,1967,China,6.621186569219441
471,1968,China,6.639146271818877
472,1969,China,6.67295440454853
473,1970,China,6.701993033142014
474,1971,China,6.745194114943279
475,1972,China,6.78043642230642
476,1973,China,6.834829228993848
477,1974,China,6.956045922955334
478,1975,China,7.098054519562841
479,1976,China,7.224657829593123
480,1977,China,7.294943212349471
481,1978,China,7.303955502591678
482,1979,China,7.3331852285567765
483,1980,China,7.379242378883488
484,1981,China,7.4164706883312865
485,1982,China,7.463516491393002
486,1983,China,7.488466755024733
487,1984,China,7.501029345702821
488,1985,China,7.540722075872441
489,1986,China,7.5975243052121275
490,1987,China,7.664628626472757
491,1988,China,7.75121580649289
492,1989,China,7.882368673576304
493,1990,China,8.04611310922356
494,1991,China,8.19611256640036
495,1992,China,8.35948223210181
496,1993,China,8.570796029172563
497,1994,China,8.783930541014996
498,1995,China,8.99594019099471
499,1996,China,9.198011142793284
500,1997,China,9.38308906353051
501,1998,China,9.614911309062443
502,1999,China,9.86824382826888
503,2000,China,10.09640603560178
504,2001,China,10.306146543141406
505,2002,China,10.484508392614817
506,2003,China,10.641553811143075
507,2004,China,10.768450546558663
508,2005,China,10.879833518362322
509,2006,China,11.036206682889736
510,2007,China,11.219676384049732
511,2008,China,11.394440486103358
512,2009,China,11.585671332657359
513,2010,China,11.815002791852384
514,2011,China,12.102302625453202
515,2012,China,12.456975396758807
516,2013,China,12.881930740189073
517,2014,China,13.378317088709204
518,2015,China,13.98992055089893
519,2016,China,14.687399656000158
520,2017,China,15.49400726519369
521,2018,China,16.36981630343763
522,2019,China,17.24432188788621
523,2020,China,18.15923346341896
524,2021,China,19.007429824321893
525,2022,China,19.87850436389306
526,2023,China,20.6926100917039
527,2024,China,21.180098628596962
528,2025,China,21.46879095825102
529,2026,China,21.69430333144941
530,2027,China,22.305057398953807
531,2028,China,23.64922562252717
532,2029,China,25.15489438201825
533,2030,China,26.53559609750894
534,2031,China,27.894573594011607
535,2032,China,29.116984075833702
536,2033,China,30.505792105762325
537,2034,China,32.1463941855528
538,2035,China,33.87234738873796
539,2036,China,35.64628561717959
540,2037,China,37.32354417891871
541,2038,China,38.91894752413502
